"","cp","prov","month","location","unemployement","men_s24","men_b24_44","men_g44","women_s24","women_b24_44","women_g44","agriculture","industry","construction","services","previously_unemployed"
"715",5177,"AVILA","Abril","PAJARES DE ADAJA",11,0,1,2,NA,2,6,NA,1,NA,10,0
"716",5178,"AVILA","Abril","PALACIOS DE GODA",21,3,1,6,NA,6,5,3,3,2,13,NA
"717",5179,"AVILA","Abril","PAPATRIGO",14,1,1,2,NA,2,8,3,2,3,5,1
"718",5180,"AVILA","Abril","PARRAL, EL",1,NA,NA,NA,NA,1,0,0,NA,NA,1,NA
"719",5181,"AVILA","Abril","PASCUALCOBO",4,NA,2,2,NA,NA,NA,NA,NA,NA,4,NA
"720",5182,"AVILA","Abril","PEDRO BERNARDO",82,1,11,38,2,14,16,4,12,12,51,3
"721",5183,"AVILA","Abril","PEDRO-RODRIGUEZ",6,1,NA,1,NA,NA,4,2,1,NA,3,NA
"722",5184,"AVILA","Abril","PEGUERINOS",15,1,1,6,NA,1,6,NA,1,1,9,4
"723",5185,"AVILA","Abril","PEÑALBA DE AVILA",7,1,0,2,NA,0,4,0,1,1,5,0
"724",5186,"AVILA","Abril","PIEDRAHITA",109,5,13,27,1,17,46,2,10,6,84,7
"725",5187,"AVILA","Abril","PIEDRALAVES",258,12,26,66,7,59,88,4,21,23,195,15
"726",5188,"AVILA","Abril","POVEDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727",5189,"AVILA","Abril","POYALES DEL HOYO",76,NA,18,28,2,13,15,11,2,28,31,4
"728",5190,"AVILA","Abril","POZANCO",2,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA
"729",5191,"AVILA","Abril","PRADOSEGAR",7,1,NA,1,NA,3,2,1,NA,NA,6,NA
"730",5192,"AVILA","Abril","PUERTO CASTILLA",6,NA,2,2,NA,NA,2,NA,0,0,6,NA
"731",5193,"AVILA","Abril","RASUEROS",9,NA,0,1,1,4,3,1,NA,1,7,NA
"732",5194,"AVILA","Abril","RIOCABADO",12,1,3,2,0,1,5,2,1,3,6,NA
"733",5195,"AVILA","Abril","RIOFRIO",4,NA,2,2,NA,NA,NA,NA,NA,3,1,NA
"734",5196,"AVILA","Abril","RIVILLA DE BARAJAS",4,NA,0,1,NA,1,2,0,1,NA,3,NA
"735",5197,"AVILA","Abril","SALOBRAL",6,NA,2,NA,NA,1,3,1,NA,NA,5,NA
"736",5198,"AVILA","Abril","SALVADIOS",2,NA,NA,1,NA,NA,1,NA,NA,1,1,NA
"737",5199,"AVILA","Abril","SAN BARTOLOME DE BEJAR",3,NA,NA,2,NA,NA,1,NA,NA,2,1,NA
"738",5200,"AVILA","Abril","SAN BARTOLOME DE CORNEJA",0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
"739",5201,"AVILA","Abril","SAN BARTOLOME DE PINARES",39,1,8,18,2,2,8,1,2,14,21,1
"740",5204,"AVILA","Abril","SANCHIDRIAN",50,4,8,9,3,11,15,13,2,6,28,1
"741",5205,"AVILA","Abril","SANCHORREJA",2,NA,NA,NA,1,0,1,NA,NA,NA,2,0
"742",5206,"AVILA","Abril","SAN ESTEBAN DE LOS PATOS",2,NA,NA,1,NA,NA,1,NA,NA,1,1,NA
"743",5207,"AVILA","Abril","SAN ESTEBAN DEL VALLE",82,3,18,26,1,16,18,6,6,10,55,5
"744",5208,"AVILA","Abril","SAN ESTEBAN DE ZAPARDIEL",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"745",5209,"AVILA","Abril","SAN GARCIA DE INGELMOS",1,NA,0,0,NA,NA,1,NA,1,0,NA,0
"746",5901,"AVILA","Abril","SAN JUAN DE GREDOS",9,NA,NA,3,0,1,5,0,0,1,7,1
"747",5210,"AVILA","Abril","SAN JUAN DE LA ENCINILLA",1,NA,NA,1,NA,NA,0,NA,NA,1,0,NA
"748",5211,"AVILA","Abril","SAN JUAN DE LA NAVA",33,0,4,15,3,2,9,2,NA,9,19,3
"749",5212,"AVILA","Abril","SAN JUAN DEL MOLINILLO",13,NA,4,4,1,1,3,NA,1,4,7,1
"750",5213,"AVILA","Abril","SAN JUAN DEL OLMO",5,NA,NA,3,NA,2,0,0,1,NA,4,0
"751",5214,"AVILA","Abril","SAN LORENZO DE TORMES",8,0,1,4,NA,2,1,2,1,1,4,NA
"752",5215,"AVILA","Abril","SAN MARTIN DE LA VEGA DEL ALBERCHE",3,0,1,1,NA,NA,1,NA,0,2,1,NA
"753",5216,"AVILA","Abril","SAN MARTIN DEL PIMPOLLAR",8,NA,2,3,1,1,1,2,1,0,4,1
"754",5217,"AVILA","Abril","SAN MIGUEL DE CORNEJA",3,NA,NA,2,NA,0,1,NA,0,NA,3,NA
"755",5218,"AVILA","Abril","SAN MIGUEL DE SERREZUELA",7,NA,1,4,NA,1,1,NA,NA,2,5,NA
"756",5219,"AVILA","Abril","SAN PASCUAL",3,NA,1,0,NA,1,1,1,NA,NA,2,NA
"757",5220,"AVILA","Abril","SAN PEDRO DEL ARROYO",30,1,5,8,1,8,7,0,4,2,22,2
"758",5221,"AVILA","Abril","SANTA CRUZ DEL VALLE",39,2,4,19,NA,4,10,6,1,2,28,2
"759",5222,"AVILA","Abril","SANTA CRUZ DE PINARES",6,NA,1,2,NA,2,1,0,0,1,5,NA
"760",5224,"AVILA","Abril","SANTA MARIA DEL ARROYO",3,NA,NA,NA,NA,1,2,NA,1,NA,2,NA
"761",5225,"AVILA","Abril","SANTA MARIA DEL BERROCAL",35,1,4,11,2,6,11,NA,NA,5,26,4
"762",5902,"AVILA","Abril","SANTA MARIA DEL CUBILLO",13,2,2,3,NA,3,3,1,4,0,6,2
"763",5226,"AVILA","Abril","SANTA MARIA DE LOS CABALLEROS",4,1,NA,1,NA,1,1,NA,NA,NA,3,1
"764",5227,"AVILA","Abril","SANTA MARIA DEL TIETAR",53,3,7,18,1,12,12,0,4,5,38,6
"765",5228,"AVILA","Abril","SANTIAGO DEL COLLADO",3,NA,1,1,NA,0,1,1,0,NA,2,NA
"766",5904,"AVILA","Abril","SANTIAGO DEL TORMES",5,NA,2,3,NA,0,0,NA,NA,1,4,NA
"767",5229,"AVILA","Abril","SANTO DOMINGO DE LAS POSADAS",1,1,0,NA,NA,NA,0,NA,NA,NA,0,1
"768",5230,"AVILA","Abril","SANTO TOME DE ZABARCOS",1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"769",5231,"AVILA","Abril","SAN VICENTE DE AREVALO",11,1,2,2,NA,3,3,0,NA,1,10,NA
"770",5232,"AVILA","Abril","SERRADA, LA",8,NA,2,2,NA,0,4,NA,1,NA,7,NA
"771",5233,"AVILA","Abril","SERRANILLOS",8,NA,1,3,NA,NA,4,NA,NA,2,6,NA
"772",5234,"AVILA","Abril","SIGERES",6,NA,1,NA,NA,2,3,NA,NA,2,4,NA
"773",5235,"AVILA","Abril","SINLABAJOS",7,1,2,3,NA,0,1,1,1,1,4,0
"774",5236,"AVILA","Abril","SOLANA DE AVILA",21,NA,5,4,NA,5,7,3,2,1,15,NA
"775",5237,"AVILA","Abril","SOLANA DE RIOALMAR",4,NA,0,1,NA,1,2,0,1,NA,3,NA
"776",5238,"AVILA","Abril","SOLOSANCHO",32,0,7,6,3,4,12,1,2,3,24,2
"777",5239,"AVILA","Abril","SOTALBO",7,0,2,3,NA,0,2,2,0,NA,5,NA
"778",5240,"AVILA","Abril","SOTILLO DE LA ADRADA",543,30,95,127,20,116,155,13,28,82,347,73
"779",5241,"AVILA","Abril","TIEMBLO, EL",546,30,92,115,22,138,149,22,31,93,314,86
"780",5242,"AVILA","Abril","TIÑOSILLOS",55,1,1,16,2,18,17,12,4,2,35,2
"781",5243,"AVILA","Abril","TOLBAÑOS",5,NA,1,3,NA,1,0,NA,NA,1,4,NA
"782",5244,"AVILA","Abril","TORMELLAS",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"783",5245,"AVILA","Abril","TORNADIZOS DE AVILA",29,1,4,3,0,10,11,0,2,1,20,6
"784",5247,"AVILA","Abril","TORRE, LA",12,NA,1,3,NA,3,5,0,0,NA,10,2
"785",5246,"AVILA","Abril","TORTOLES",2,1,NA,1,NA,0,NA,1,0,NA,1,NA
"786",5249,"AVILA","Abril","UMBRIAS",8,NA,5,1,NA,0,2,1,NA,2,5,NA
"787",5251,"AVILA","Abril","VADILLO DE LA SIERRA",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"788",5252,"AVILA","Abril","VALDECASA",1,NA,0,0,NA,NA,1,0,NA,NA,1,NA
"789",5253,"AVILA","Abril","VEGA DE SANTA MARIA",2,NA,NA,2,NA,NA,0,NA,NA,0,2,NA
"790",5254,"AVILA","Abril","VELAYOS",18,2,3,5,NA,4,4,1,1,1,14,1
"791",5256,"AVILA","Abril","VILLAFLOR",6,NA,NA,2,NA,2,2,NA,0,NA,5,1
"792",5257,"AVILA","Abril","VILLAFRANCA DE LA SIERRA",9,NA,3,4,NA,NA,2,1,NA,2,6,NA
"793",5905,"AVILA","Abril","VILLANUEVA DE AVILA",1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"794",5258,"AVILA","Abril","VILLANUEVA DE GOMEZ",9,1,2,2,NA,1,3,1,1,4,3,NA
"795",5259,"AVILA","Abril","VILLANUEVA DEL ACERAL",2,NA,NA,1,NA,0,1,2,NA,NA,0,NA
"796",5260,"AVILA","Abril","VILLANUEVA DEL CAMPILLO",4,NA,1,1,NA,2,NA,NA,NA,1,3,NA
"797",5261,"AVILA","Abril","VILLAR DE CORNEJA",1,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA
"798",5262,"AVILA","Abril","VILLAREJO DEL VALLE",28,0,2,16,NA,2,8,3,2,14,8,1
"799",5263,"AVILA","Abril","VILLATORO",7,1,NA,4,NA,0,2,NA,1,NA,6,0
"800",5264,"AVILA","Abril","VIÑEGRA DE MORAÑA",3,NA,0,NA,NA,1,2,NA,NA,0,3,NA
"801",5265,"AVILA","Abril","VITA",4,1,NA,2,NA,1,NA,NA,NA,0,2,2
"802",5266,"AVILA","Abril","ZAPARDIEL DE LA CAÑADA",4,1,1,NA,NA,1,1,NA,NA,NA,4,NA
"803",5267,"AVILA","Abril","ZAPARDIEL DE LA RIBERA",6,1,1,1,NA,NA,3,NA,NA,1,4,1
"804",6001,"BADAJOZ","Abril","ACEDERA",79,2,10,15,5,25,22,18,0,4,54,3
"805",6002,"BADAJOZ","Abril","ACEUCHAL",405,25,64,64,21,126,105,108,22,39,224,12
"806",6003,"BADAJOZ","Abril","AHILLONES",46,2,5,14,1,10,14,9,2,6,28,1
"807",6004,"BADAJOZ","Abril","ALANGE",267,7,27,37,22,75,99,21,2,18,219,7
"808",6005,"BADAJOZ","Abril","ALBUERA, LA",190,8,32,38,10,60,42,35,12,6,133,4
"809",6006,"BADAJOZ","Abril","ALBURQUERQUE",654,31,107,112,39,178,187,49,53,56,469,27
"810",6007,"BADAJOZ","Abril","ALCONCHEL",218,8,30,38,12,61,69,31,6,44,127,10
"811",6008,"BADAJOZ","Abril","ALCONERA",114,5,19,16,4,31,39,0,17,4,89,4
"812",6009,"BADAJOZ","Abril","ALJUCEN",20,2,2,7,NA,3,6,4,NA,1,15,NA
"813",6010,"BADAJOZ","Abril","ALMENDRAL",163,8,23,32,11,39,50,30,11,10,102,10
"814",6011,"BADAJOZ","Abril","ALMENDRALEJO",4088,171,655,672,157,1104,1329,382,388,376,2755,187
"815",6012,"BADAJOZ","Abril","ARROYO DE SAN SERVAN",482,23,65,82,32,138,142,156,16,37,261,12
"816",6013,"BADAJOZ","Abril","ATALAYA",37,2,12,5,0,4,14,5,0,3,29,0
"817",6014,"BADAJOZ","Abril","AZUAGA",833,41,138,175,59,211,209,51,31,75,629,47
"818",6015,"BADAJOZ","Abril","BADAJOZ",16223,646,3057,3226,630,4406,4258,1052,680,1151,12179,1161
"819",6016,"BADAJOZ","Abril","BARCARROTA",416,31,50,77,26,93,139,42,27,33,287,27
"820",6017,"BADAJOZ","Abril","BATERNO",34,2,2,14,0,3,13,9,0,1,24,NA
"821",6018,"BADAJOZ","Abril","BENQUERENCIA DE LA SERENA",129,7,18,35,1,32,36,29,5,6,88,1
"822",6019,"BADAJOZ","Abril","BERLANGA",249,11,40,48,9,83,58,27,14,37,160,11
"823",6020,"BADAJOZ","Abril","BIENVENIDA",223,8,31,39,4,56,85,33,13,16,153,8
"824",6021,"BADAJOZ","Abril","BODONAL DE LA SIERRA",97,6,13,22,6,17,33,6,7,10,73,1
"825",6022,"BADAJOZ","Abril","BURGUILLOS DEL CERRO",480,22,69,108,26,112,143,23,38,55,335,29
"826",6023,"BADAJOZ","Abril","CABEZA DEL BUEY",629,35,95,158,25,137,179,68,57,81,392,31
"827",6024,"BADAJOZ","Abril","CABEZA LA VACA",170,14,26,42,6,37,45,16,16,27,106,5
"828",6025,"BADAJOZ","Abril","CALAMONTE",600,25,98,102,27,185,163,100,16,52,406,26
"829",6026,"BADAJOZ","Abril","CALERA DE LEON",103,6,20,16,3,31,27,10,25,14,52,2
"830",6027,"BADAJOZ","Abril","CALZADILLA DE LOS BARROS",94,4,15,20,6,22,27,16,3,19,54,2
"831",6028,"BADAJOZ","Abril","CAMPANARIO",580,21,67,106,24,147,215,36,33,36,461,14
"832",6029,"BADAJOZ","Abril","CAMPILLO DE LLERENA",154,10,20,25,7,51,41,18,7,25,100,4
"833",6030,"BADAJOZ","Abril","CAPILLA",22,2,2,4,2,4,8,3,NA,0,19,NA
"834",6031,"BADAJOZ","Abril","CARMONITA",59,5,2,12,5,19,16,13,1,1,44,NA
"835",6032,"BADAJOZ","Abril","CARRASCALEJO, EL",5,NA,2,2,0,NA,1,NA,0,NA,5,NA
"836",6033,"BADAJOZ","Abril","CASAS DE DON PEDRO",186,14,32,52,7,35,46,25,9,47,100,5
"837",6034,"BADAJOZ","Abril","CASAS DE REINA",22,2,4,3,1,7,5,1,2,4,15,NA
"838",6035,"BADAJOZ","Abril","CASTILBLANCO",99,2,17,36,3,18,23,10,4,13,69,3
"839",6036,"BADAJOZ","Abril","CASTUERA",731,40,117,144,25,175,230,35,68,25,571,32
"840",6042,"BADAJOZ","Abril","CHELES",110,6,18,24,20,16,26,18,3,5,76,8
"841",6037,"BADAJOZ","Abril","CODOSERA, LA",239,15,40,53,6,60,65,41,15,12,155,16
"842",6038,"BADAJOZ","Abril","CORDOBILLA DE LACARA",74,2,7,10,6,22,27,26,3,2,36,7
"843",6039,"BADAJOZ","Abril","CORONADA, LA",267,8,39,50,13,74,83,35,12,45,165,10
"844",6040,"BADAJOZ","Abril","CORTE DE PELEAS",92,3,8,16,9,27,29,24,6,3,53,6
"845",6041,"BADAJOZ","Abril","CRISTINA",72,2,5,13,6,19,27,10,10,1,47,4
"846",6043,"BADAJOZ","Abril","DON ALVARO",76,0,5,22,1,21,27,6,3,1,63,3
"847",6044,"BADAJOZ","Abril","DON BENITO",3805,218,643,594,215,1074,1061,511,307,237,2496,254
"848",6045,"BADAJOZ","Abril","ENTRIN BAJO",45,8,5,11,1,8,12,18,4,3,20,0
"849",6046,"BADAJOZ","Abril","ESPARRAGALEJO",212,9,28,36,12,60,67,27,8,15,154,8
"850",6048,"BADAJOZ","Abril","ESPARRAGOSA DE LARES",102,5,17,21,3,26,30,5,5,16,72,4
"851",6047,"BADAJOZ","Abril","ESPARRAGOSA DE LA SERENA",98,5,16,14,1,30,32,24,8,1,62,3
"852",6049,"BADAJOZ","Abril","FERIA",127,3,10,27,4,32,51,11,6,14,90,6
"853",6050,"BADAJOZ","Abril","FREGENAL DE LA SIERRA",527,20,75,124,19,123,166,21,49,49,385,23
"854",6051,"BADAJOZ","Abril","FUENLABRADA DE LOS MONTES",155,14,18,39,10,42,32,26,6,7,110,6
"855",6052,"BADAJOZ","Abril","FUENTE DE CANTOS",628,28,93,134,27,132,214,48,31,89,425,35
"856",6053,"BADAJOZ","Abril","FUENTE DEL ARCO",54,0,13,12,3,12,14,9,2,6,36,1
"857",6054,"BADAJOZ","Abril","FUENTE DEL MAESTRE",637,50,105,87,35,176,184,104,42,66,399,26
"858",6055,"BADAJOZ","Abril","FUENTES DE LEON",315,11,54,58,11,71,110,12,46,32,211,14
"859",6056,"BADAJOZ","Abril","GARBAYUELA",74,4,12,26,2,14,16,11,0,11,49,3
"860",6057,"BADAJOZ","Abril","GARLITOS",77,3,8,20,3,18,25,12,13,3,44,5
"861",6058,"BADAJOZ","Abril","GARROVILLA, LA",272,13,32,49,14,76,88,56,19,33,152,12
"862",6059,"BADAJOZ","Abril","GRANJA DE TORREHERMOSA",238,13,29,59,14,52,71,14,8,28,179,9
"863",6903,"BADAJOZ","Abril","GUADIANA DEL CAUDILLO",220,11,34,47,15,45,68,52,6,36,120,6
"864",6060,"BADAJOZ","Abril","GUAREÑA",580,25,90,86,36,155,188,117,34,32,369,28
"865",6061,"BADAJOZ","Abril","HABA, LA",144,10,15,41,4,21,53,18,17,14,93,2
"866",6062,"BADAJOZ","Abril","HELECHOSA DE LOS MONTES",64,3,7,11,3,15,25,11,1,11,39,2
"867",6063,"BADAJOZ","Abril","HERRERA DEL DUQUE",408,18,62,100,18,85,125,47,11,51,290,9
"868",6064,"BADAJOZ","Abril","HIGUERA DE LA SERENA",180,9,19,54,6,37,55,10,8,6,155,1
"869",6065,"BADAJOZ","Abril","HIGUERA DE LLERENA",38,1,5,9,1,12,10,7,1,10,18,2
"870",6066,"BADAJOZ","Abril","HIGUERA DE VARGAS",249,13,38,40,22,71,65,63,4,25,148,9
"871",6067,"BADAJOZ","Abril","HIGUERA LA REAL",241,13,23,51,10,50,94,6,32,22,172,9
"872",6068,"BADAJOZ","Abril","HINOJOSA DEL VALLE",49,1,11,10,3,12,12,13,2,6,28,0
"873",6069,"BADAJOZ","Abril","HORNACHOS",337,10,39,49,27,90,122,71,8,32,207,19
"874",6070,"BADAJOZ","Abril","JEREZ DE LOS CABALLEROS",1087,38,150,183,35,296,385,31,185,75,735,61
"875",6071,"BADAJOZ","Abril","LAPA, LA",39,2,6,5,2,9,15,5,2,3,26,3
"876",6073,"BADAJOZ","Abril","LLERA",89,4,16,22,7,23,17,16,0,15,53,5
"877",6074,"BADAJOZ","Abril","LLERENA",702,40,141,126,32,180,183,47,24,62,550,19
"878",6072,"BADAJOZ","Abril","LOBON",273,15,42,33,10,90,83,45,12,22,188,6
"879",6075,"BADAJOZ","Abril","MAGACELA",46,4,8,8,0,12,14,5,3,9,26,3
"880",6076,"BADAJOZ","Abril","MAGUILLA",72,4,18,18,1,17,14,16,5,14,31,6
"881",6077,"BADAJOZ","Abril","MALCOCINADO",21,2,2,10,0,6,1,6,2,NA,11,2
"882",6078,"BADAJOZ","Abril","MALPARTIDA DE LA SERENA",56,3,5,18,3,13,14,6,0,0,46,4
"883",6079,"BADAJOZ","Abril","MANCHITA",74,3,3,10,10,22,26,21,5,2,41,5
"884",6080,"BADAJOZ","Abril","MEDELLIN",196,11,22,23,9,66,65,35,13,11,132,5
"885",6081,"BADAJOZ","Abril","MEDINA DE LAS TORRES",161,9,23,21,11,27,70,11,4,6,131,9
"886",6082,"BADAJOZ","Abril","MENGABRIL",40,2,3,6,3,9,17,6,4,3,27,NA
"887",6083,"BADAJOZ","Abril","MERIDA",7440,364,1378,1412,330,1985,1971,442,272,551,5754,421
"888",6084,"BADAJOZ","Abril","MIRANDILLA",120,5,24,27,6,28,30,11,3,13,84,9
"889",6085,"BADAJOZ","Abril","MONESTERIO",509,33,55,77,21,146,177,27,24,51,394,13
"890",6086,"BADAJOZ","Abril","MONTEMOLIN",169,8,21,39,6,38,57,18,18,31,95,7
"891",6087,"BADAJOZ","Abril","MONTERRUBIO DE LA SERENA",278,17,36,65,9,68,83,48,20,20,180,10
"892",6088,"BADAJOZ","Abril","MONTIJO",2056,100,291,330,102,519,714,367,129,169,1322,69
"893",6089,"BADAJOZ","Abril","MORERA, LA",55,5,4,6,4,12,24,15,1,8,29,2
"894",6090,"BADAJOZ","Abril","NAVA DE SANTIAGO, LA",87,1,2,14,7,27,36,23,3,2,55,4
"895",6091,"BADAJOZ","Abril","NAVALVILLAR DE PELA",405,26,65,59,14,105,136,71,15,27,278,14
"896",6092,"BADAJOZ","Abril","NOGALES",62,3,13,6,5,16,19,12,7,5,38,0
"897",6093,"BADAJOZ","Abril","OLIVA DE LA FRONTERA",577,39,91,108,30,151,158,55,50,66,391,15
"898",6094,"BADAJOZ","Abril","OLIVA DE MERIDA",101,8,18,22,13,20,20,30,4,19,41,7
"899",6095,"BADAJOZ","Abril","OLIVENZA",1449,74,230,258,87,372,428,179,59,111,1025,75
"900",6096,"BADAJOZ","Abril","ORELLANA DE LA SIERRA",19,0,2,3,NA,3,11,0,NA,1,17,1
"901",6097,"BADAJOZ","Abril","ORELLANA LA VIEJA",272,14,40,49,13,69,87,26,7,44,188,7
"902",6098,"BADAJOZ","Abril","PALOMAS",56,0,5,7,4,19,21,30,NA,2,24,0
"903",6099,"BADAJOZ","Abril","PARRA, LA",149,9,17,19,12,43,49,35,5,14,86,9
"904",6100,"BADAJOZ","Abril","PEÑALSORDO",82,8,7,29,3,11,24,5,9,13,51,4
"905",6101,"BADAJOZ","Abril","PERALEDA DEL ZAUCEJO",36,0,4,10,1,5,16,6,2,3,25,0
"906",6102,"BADAJOZ","Abril","PUEBLA DE ALCOCER",139,7,30,25,8,35,34,8,9,24,95,3
"907",6103,"BADAJOZ","Abril","PUEBLA DE LA CALZADA",670,32,100,106,39,177,216,104,42,80,413,31
"908",6104,"BADAJOZ","Abril","PUEBLA DE LA REINA",94,4,11,12,6,29,32,22,5,12,50,5
"909",6105,"BADAJOZ","Abril","PUEBLA DEL MAESTRE",104,4,14,16,6,16,48,36,4,4,57,3
"910",6106,"BADAJOZ","Abril","PUEBLA DEL PRIOR",55,1,10,9,NA,15,20,26,1,2,26,0
"911",6107,"BADAJOZ","Abril","PUEBLA DE OBANDO",212,10,27,42,15,63,55,63,5,20,110,14
"912",6108,"BADAJOZ","Abril","PUEBLA DE SANCHO PEREZ",321,16,45,60,10,78,112,38,16,19,235,13
"913",6902,"BADAJOZ","Abril","PUEBLONUEVO DEL GUADIANA",135,9,25,24,3,43,31,36,6,12,79,2
"914",6109,"BADAJOZ","Abril","QUINTANA DE LA SERENA",767,35,97,126,38,197,274,33,86,37,568,43
"915",6110,"BADAJOZ","Abril","REINA",16,NA,1,7,NA,2,6,3,0,8,5,NA
"916",6111,"BADAJOZ","Abril","RENA",34,3,4,4,6,8,9,10,0,1,18,5
"917",6112,"BADAJOZ","Abril","RETAMAL DE LLERENA",57,4,8,12,2,12,19,3,1,11,40,2
"918",6113,"BADAJOZ","Abril","RIBERA DEL FRESNO",323,26,35,59,20,80,103,86,11,28,186,12
"919",6114,"BADAJOZ","Abril","RISCO",21,NA,2,5,1,4,9,1,NA,1,16,3
"920",6115,"BADAJOZ","Abril","ROCA DE LA SIERRA, LA",166,14,14,29,11,48,50,31,13,11,103,8
"921",6116,"BADAJOZ","Abril","SALVALEON",213,8,26,43,14,68,54,21,27,22,139,4
"922",6117,"BADAJOZ","Abril","SALVATIERRA DE LOS BARROS",157,6,20,26,6,44,55,19,13,19,99,7
"923",6118,"BADAJOZ","Abril","SANCTI-SPIRITUS",16,3,2,1,2,2,6,1,0,1,14,NA
"924",6119,"BADAJOZ","Abril","SAN PEDRO DE MERIDA",86,3,16,14,2,31,20,17,1,1,66,1
"925",6120,"BADAJOZ","Abril","SANTA AMALIA",287,17,43,47,23,80,77,45,10,16,206,10
"926",6121,"BADAJOZ","Abril","SANTA MARTA",474,26,61,68,28,156,135,67,15,52,323,17
"927",6122,"BADAJOZ","Abril","SANTOS DE MAIMONA, LOS",972,43,137,140,39,271,342,70,64,82,698,58
"928",6123,"BADAJOZ","Abril","SAN VICENTE DE ALCANTARA",628,37,94,90,28,187,192,29,92,41,432,34
"929",6124,"BADAJOZ","Abril","SEGURA DE LEON",270,12,30,55,8,41,124,10,31,36,188,5
"930",6125,"BADAJOZ","Abril","SIRUELA",153,4,20,40,1,35,53,7,8,11,123,4
"931",6126,"BADAJOZ","Abril","SOLANA DE LOS BARROS",185,9,20,30,21,48,57,48,8,14,109,6
"932",6127,"BADAJOZ","Abril","TALARRUBIAS",341,26,53,72,9,86,95,21,12,63,229,16
"933",6128,"BADAJOZ","Abril","TALAVERA LA REAL",423,12,69,96,9,112,125,66,45,40,264,8
"934",6129,"BADAJOZ","Abril","TALIGA",101,8,14,18,9,32,20,11,5,16,66,3
"935",6130,"BADAJOZ","Abril","TAMUREJO",15,2,3,2,NA,4,4,0,2,NA,12,1
"936",6131,"BADAJOZ","Abril","TORRE DE MIGUEL SESMERO",120,7,22,21,16,35,19,24,9,9,74,4
"937",6132,"BADAJOZ","Abril","TORREMAYOR",84,4,7,17,3,26,27,20,1,4,53,6
"938",6133,"BADAJOZ","Abril","TORREMEJIA",244,13,32,32,15,78,74,48,10,12,157,17
"939",6134,"BADAJOZ","Abril","TRASIERRA",59,2,8,6,6,19,18,12,NA,11,36,0
"940",6135,"BADAJOZ","Abril","TRUJILLANOS",174,11,30,27,4,49,53,18,4,10,137,5
"941",6136,"BADAJOZ","Abril","USAGRE",218,10,27,52,16,54,59,37,8,47,120,6
"942",6137,"BADAJOZ","Abril","VALDECABALLEROS",163,10,21,48,3,39,42,9,7,36,108,3
"943",6901,"BADAJOZ","Abril","VALDELACALZADA",195,10,40,38,8,47,52,53,7,32,97,6
"944",6138,"BADAJOZ","Abril","VALDETORRES",107,12,12,19,7,28,29,23,7,2,70,5
"945",6139,"BADAJOZ","Abril","VALENCIA DE LAS TORRES",50,5,7,13,1,10,14,13,3,5,29,0
"946",6140,"BADAJOZ","Abril","VALENCIA DEL MOMBUEY",59,3,11,21,1,9,14,7,4,12,35,1
"947",6141,"BADAJOZ","Abril","VALENCIA DEL VENTOSO",222,15,30,35,9,49,84,27,24,12,148,11
"948",6146,"BADAJOZ","Abril","VALLE DE LA SERENA",189,8,13,34,9,47,78,6,4,13,159,7
"949",6147,"BADAJOZ","Abril","VALLE DE MATAMOROS",34,0,2,17,1,7,7,4,4,4,21,1
"950",6148,"BADAJOZ","Abril","VALLE DE SANTA ANA",115,2,14,23,6,30,40,7,22,10,73,3
"951",6142,"BADAJOZ","Abril","VALVERDE DE BURGUILLOS",35,1,4,4,5,8,13,2,5,0,27,1
"952",6143,"BADAJOZ","Abril","VALVERDE DE LEGANES",377,14,65,89,26,92,91,65,22,36,244,10
"953",6144,"BADAJOZ","Abril","VALVERDE DE LLERENA",55,2,4,17,0,14,18,13,2,5,35,0
"954",6145,"BADAJOZ","Abril","VALVERDE DE MERIDA",135,8,21,16,13,35,42,21,0,12,97,5
"955",6149,"BADAJOZ","Abril","VILLAFRANCA DE LOS BARROS",1466,74,203,248,70,381,490,157,81,115,1033,80
"956",6150,"BADAJOZ","Abril","VILLAGARCIA DE LA TORRE",128,4,22,39,5,27,31,15,11,31,70,1
"957",6151,"BADAJOZ","Abril","VILLAGONZALO",126,1,13,17,10,36,49,20,2,5,97,2
"958",6152,"BADAJOZ","Abril","VILLALBA DE LOS BARROS",121,6,16,20,5,36,38,34,6,7,68,6
"959",6153,"BADAJOZ","Abril","VILLANUEVA DE LA SERENA",2712,144,390,453,151,751,823,496,160,171,1702,183
"960",6154,"BADAJOZ","Abril","VILLANUEVA DEL FRESNO",368,29,54,71,20,95,99,68,13,19,248,20
"961",6155,"BADAJOZ","Abril","VILLAR DEL REY",332,19,39,70,11,72,121,47,17,11,236,21
"962",6156,"BADAJOZ","Abril","VILLAR DE RENA",98,5,15,11,6,26,35,14,5,4,70,5
"963",6157,"BADAJOZ","Abril","VILLARTA DE LOS MONTES",58,3,7,14,2,13,19,6,1,3,46,2
