"fecha","cs","nuevos_casos","tarjetas_sanitarias","pcr_realizados","pcr_positivos","pcr_positivos_sintomas","fallecidos","casos_activos"
2020-03-02,170328,0,19525,0,0,0,0,0
2020-03-02,170401,0,14767,0,0,0,0,0
2020-03-02,170402,0,12031,0,0,0,0,0
2020-03-02,170403,0,6549,0,0,0,0,0
2020-03-02,170404,0,21643,0,0,0,0,0
2020-03-02,170405,0,23035,0,0,0,0,0
2020-03-02,170406,0,16506,0,0,0,0,0
2020-03-02,170407,0,2378,0,0,0,0,0
2020-03-02,170408,0,4192,0,0,0,0,0
2020-03-02,170409,0,8966,0,0,0,0,0
2020-03-02,170410,0,6758,0,0,0,0,0
2020-03-02,170411,0,12437,0,0,0,0,0
2020-03-02,170501,0,8427,0,0,0,0,0
2020-03-02,170502,0,2025,0,0,0,0,0
2020-03-02,170503,0,3774,1,0,0,0,0
2020-03-02,170504,0,3348,0,0,0,0,0
2020-03-02,170505,0,3493,0,0,0,0,0
2020-03-02,170506,0,8147,0,0,0,0,0
2020-03-02,170507,0,3907,0,0,0,0,0
2020-03-02,170508,0,18563,0,0,0,0,0
2020-03-02,170509,0,20338,0,0,0,0,0
2020-03-02,170510,0,2122,0,0,0,0,0
2020-03-02,170511,0,4763,0,0,0,0,0
2020-03-02,170512,0,3068,0,0,0,0,0
2020-03-02,170513,0,22735,0,0,0,0,1
2020-03-02,170514,0,5892,0,0,0,0,0
2020-03-02,170515,0,20913,0,0,0,0,1
2020-03-02,170516,0,1852,0,0,0,0,0
2020-03-02,170517,0,9944,0,0,0,0,0
2020-03-02,170518,0,2143,0,0,0,0,0
2020-03-02,170519,0,1729,0,0,0,0,1
2020-03-02,170520,0,6195,0,0,0,0,0
2020-03-02,170601,0,12315,0,0,0,0,0
2020-03-02,170602,0,2568,0,0,0,0,0
2020-03-02,170603,0,16077,0,0,0,0,0
2020-03-02,170604,0,2133,0,0,0,0,0
2020-03-02,170605,0,1842,0,0,0,0,0
2020-03-02,170606,0,14658,0,0,0,0,1
2020-03-02,170607,0,20551,0,0,0,0,4
2020-03-02,170608,0,3221,0,0,0,0,0
2020-03-02,170609,0,1621,0,0,0,0,0
2020-03-02,170610,0,2025,0,0,0,0,0
2020-03-02,170611,0,18811,0,0,0,0,2
2020-03-02,170612,0,25832,0,0,0,0,0
2020-03-02,170613,0,9597,0,0,0,0,0
2020-03-02,170614,0,18490,0,0,0,0,1
2020-03-02,170615,0,1808,0,0,0,0,0
2020-03-02,170616,0,2555,0,0,0,0,0
2020-03-02,170617,1,2117,0,0,0,0,1
2020-03-02,170618,0,3294,0,0,0,0,0
2020-03-02,170619,0,1823,0,0,0,0,0
2020-03-02,170620,0,1694,0,0,0,0,0
2020-03-02,170621,0,2641,0,0,0,0,0
2020-03-02,170622,0,19188,0,0,0,0,2
2020-03-02,170623,0,12018,0,0,0,0,0
2020-03-02,170624,0,10063,0,0,0,0,0
2020-03-02,170625,0,14973,0,0,0,0,0
2020-03-02,170626,0,1643,0,0,0,0,0
2020-03-02,170627,0,12332,0,0,0,0,0
2020-03-02,170628,0,18209,0,0,0,0,0
2020-03-02,170629,0,8319,0,0,0,0,0
2020-03-02,170630,0,2189,0,0,0,0,0
2020-03-02,170631,0,10466,0,0,0,0,0
2020-03-02,170633,0,4032,0,0,0,0,0
2020-03-02,170634,0,6097,0,0,0,0,0
2020-03-02,170635,0,11492,0,0,0,0,0
2020-03-02,170636,0,15412,0,0,0,0,1
2020-03-02,170637,1,9829,0,0,0,0,1
2020-03-02,170701,0,8331,0,0,0,0,1
2020-03-02,170702,0,9273,0,0,0,0,3
2020-03-02,170703,0,13904,0,0,0,0,0
2020-03-02,170704,0,1377,0,0,0,0,0
2020-03-02,170705,0,2257,0,0,0,0,0
2020-03-02,170706,0,8568,0,0,0,0,0
2020-03-02,170707,0,4359,0,0,0,0,0
2020-03-02,170708,2,22189,0,0,0,0,5
2020-03-02,170709,0,18161,1,0,0,0,0
2020-03-02,170710,1,15315,0,0,0,0,1
2020-03-02,170711,0,21485,0,0,0,0,0
2020-03-02,170712,0,2868,0,0,0,0,0
2020-03-02,170713,0,3295,0,0,0,0,0
2020-03-02,170714,0,8526,0,0,0,0,0
2020-03-02,170715,0,5361,0,0,0,0,1
2020-03-02,170716,0,821,0,0,0,0,0
2020-03-02,170801,0,3414,0,0,0,0,0
2020-03-02,170802,0,6686,0,0,0,0,0
2020-03-02,170803,0,2736,0,0,0,0,0
2020-03-02,170804,0,1393,0,0,0,0,0
2020-03-02,170805,0,5504,0,0,0,0,1
2020-03-02,170806,0,4098,0,0,0,0,0
2020-03-02,170807,0,1073,0,0,0,0,0
2020-03-02,170808,0,4206,0,0,0,0,0
2020-03-02,170809,0,3345,0,0,0,0,0
2020-03-02,170810,0,3813,0,0,0,0,1
2020-03-02,170811,0,7309,0,0,0,0,0
2020-03-02,170812,0,916,0,0,0,0,0
2020-03-02,170813,0,23699,0,0,0,0,1
2020-03-02,170814,0,19286,0,0,0,0,1
2020-03-02,170902,0,18958,0,0,0,0,1
2020-03-02,170903,0,15060,0,0,0,0,0
2020-03-02,170906,0,18813,0,0,0,0,0
2020-03-02,170907,1,25426,0,0,0,0,4
2020-03-02,170909,0,28564,0,0,0,0,0
2020-03-02,170910,0,2621,0,0,0,0,0
2020-03-02,170913,0,6557,0,0,0,0,0
2020-03-02,170914,0,1879,0,0,0,0,0
2020-03-02,170915,0,28717,0,0,0,0,1
2020-03-02,170916,0,22958,0,0,0,0,1
2020-03-02,170919,0,22294,0,0,0,0,1
2020-03-02,170920,0,11490,0,0,0,0,0
2020-03-02,170924,0,2159,0,0,0,0,0
2020-03-02,170925,0,2264,0,0,0,0,0
2020-03-02,170926,0,8743,0,0,0,0,0
2020-03-02,170927,0,26273,0,0,0,0,0
2020-03-02,170928,0,18949,0,0,0,0,0
2020-03-02,171001,0,5942,0,0,0,0,0
2020-03-02,171002,0,1317,0,0,0,0,0
2020-03-02,171003,0,14915,0,0,0,0,2
2020-03-02,171006,0,11068,0,0,0,0,0
2020-03-02,171007,0,9221,0,0,0,0,0
2020-03-02,171008,0,14118,0,0,0,0,3
2020-03-02,171009,0,16460,0,0,0,0,0
2020-03-02,171010,0,13892,0,0,0,0,0
2020-03-02,171011,0,9496,0,0,0,0,0
2020-03-02,171012,0,14232,0,0,0,0,0
2020-03-02,171013,0,11185,0,0,0,0,0
2020-03-02,171014,0,11173,0,0,0,0,1
2020-03-02,171015,0,9403,0,0,0,0,0
2020-03-02,171016,0,11564,0,0,0,0,0
2020-03-02,171017,0,5318,0,0,0,0,0
2020-03-02,171018,0,11624,0,0,0,0,1
2020-03-02,171019,0,2752,0,0,0,0,0
2020-03-02,171020,0,4373,0,0,0,0,0
2020-03-02,171021,0,8425,0,0,0,0,0
2020-03-02,171022,0,20996,0,0,0,0,2
2020-03-02,171023,0,17223,0,0,0,0,0
2020-03-02,171024,0,18242,0,0,0,0,0
2020-03-02,171025,0,8791,0,0,0,0,0
2020-03-02,171026,0,7508,0,0,0,0,0
2020-03-02,171101,0,15036,0,0,0,0,2
2020-03-02,171102,0,4604,0,0,0,0,0
2020-03-02,171103,0,521,0,0,0,0,0
2020-03-02,171104,0,12430,0,0,0,0,0
2020-03-02,171105,0,14593,0,0,0,0,0
2020-03-02,171106,0,3039,0,0,0,0,0
2020-03-02,171107,0,2982,0,0,0,0,0
2020-03-02,171108,0,1121,0,0,0,0,0
2020-03-02,171109,0,2009,0,0,0,0,0
2020-03-02,171110,0,2910,0,0,0,0,0
2020-03-02,171111,0,16715,0,0,0,0,0
2020-03-02,171112,0,12647,0,0,0,0,2
2020-03-02,171113,0,5267,0,0,0,0,0
2020-03-02,171114,0,3974,0,0,0,0,0
2020-03-02,171115,0,5162,0,0,0,0,0
2020-03-02,171116,0,3358,0,0,0,0,0
2020-03-02,171117,0,11185,0,0,0,0,1
2020-03-02,171118,0,1850,0,0,0,0,0
2020-03-02,171119,0,3578,0,0,0,0,0
2020-03-02,171120,0,20478,0,0,0,0,0
2020-03-02,171121,0,7128,0,0,0,0,0
2020-03-02,171122,1,7812,0,0,0,0,1
2020-03-03,170101,0,7598,0,0,0,0,0
2020-03-03,170102,0,13805,0,0,0,0,1
2020-03-03,170103,0,17113,0,0,0,0,0
2020-03-03,170104,0,11289,0,0,0,0,1
2020-03-03,170105,0,8657,0,0,0,0,0
2020-03-03,170106,0,2749,0,0,0,0,0
2020-03-03,170107,0,14531,0,0,0,0,0
2020-03-03,170108,0,4510,0,0,0,0,0
2020-03-03,170109,0,4590,0,0,0,0,0
2020-03-03,170110,0,5009,0,0,0,0,0
2020-03-03,170111,0,8666,0,0,0,0,0
2020-03-03,170112,0,2215,0,0,0,0,0
2020-03-03,170113,0,1428,0,0,0,0,0
2020-03-03,170114,0,5992,0,0,0,0,0
2020-03-03,170115,0,2404,0,0,0,0,0
2020-03-03,170116,0,2461,0,0,0,0,0
2020-03-03,170117,1,3570,0,0,0,0,1
2020-03-03,170118,0,1969,0,0,0,0,0
2020-03-03,170119,0,11034,0,0,0,0,0
2020-03-03,170120,0,2154,0,0,0,0,1
2020-03-03,170121,0,930,0,0,0,0,0
2020-03-03,170122,0,16079,0,0,0,0,0
2020-03-03,170201,0,19644,0,0,0,0,0
2020-03-03,170202,0,7752,0,0,0,0,0
2020-03-03,170203,0,16170,0,0,0,0,1
2020-03-03,170204,2,3893,0,0,0,0,3
2020-03-03,170205,0,8778,0,0,0,0,1
2020-03-03,170206,0,16671,0,0,0,0,0
2020-03-03,170207,0,16183,0,0,0,0,1
2020-03-03,170208,0,7313,0,0,0,0,1
2020-03-03,170209,0,11518,0,0,0,0,0
2020-03-03,170210,0,1818,0,0,0,0,2
2020-03-03,170211,0,2671,0,0,0,0,0
2020-03-03,170212,0,15253,0,0,0,0,0
2020-03-03,170213,0,15716,0,0,0,0,1
2020-03-03,170214,0,16703,0,0,0,0,1
2020-03-03,170215,0,1336,0,0,0,0,0
2020-03-03,170216,0,6027,0,0,0,0,0
2020-03-03,170217,0,17094,0,0,0,0,1
2020-03-03,170218,0,14868,0,0,0,0,0
2020-03-03,170219,0,6728,0,0,0,0,0
2020-03-03,170220,0,2784,0,0,0,0,1
2020-03-03,170221,0,18513,0,0,0,0,0
2020-03-03,170222,0,19188,0,0,0,0,0
2020-03-03,170223,0,1899,0,0,0,0,0
2020-03-03,170224,0,3159,0,0,0,0,0
2020-03-03,170225,0,5606,0,0,0,0,0
2020-03-03,170226,0,3244,0,0,0,0,1
2020-03-03,170227,1,21990,0,0,0,0,1
2020-03-03,170228,0,17245,0,0,0,0,1
2020-03-03,170229,0,441,0,0,0,0,0
2020-03-03,170230,0,549,0,0,0,0,0
2020-03-03,170231,0,974,0,0,0,0,0
2020-03-03,170232,0,919,0,0,0,0,0
2020-03-03,170233,0,2484,0,0,0,0,0
2020-03-03,170234,0,3693,0,0,0,0,0
2020-03-03,170235,0,4358,0,0,0,0,0
2020-03-03,170236,2,25227,0,0,0,0,6
